School ,Hearing Rhymes  Q2,Creating Rhymes  Q2, Initial Sound Q2, LN  Q2, LS Q2, SWA  Q2, SWB  Q2,F&P Q2
1,10,6,10,52,25,14,6,1
1,10,10,10,52,26,16,14,3
1,5,6,2,46,33,9,3,0
1,8,0,1,45,13,10,6,0
1,9,4,8,41,20,11,2,0
1,8,1,10,52,26,14,8,2
1,10,10,10,52,26,14,11,3
1,9,8,10,49,26,15,12,3
1,6,0,8,30,11,2,0,0
1,5,0,9,28,16,5,0,0
1,5,0,10,48,24,12,4,0
1,10,6,10,52,25,15,9,2
1,10,6,10,43,23,11,6,0
1,9,6,10,52,26,14,11,2
1,8,0,0,43,23,6,0,0
1,10,9,10,43,16,13,7,1
1,10,10,10,52,26,16,16,3
1,10,10,10,52,26,14,8,2
1,10,10,10,52,26,16,16,3
1,6,0,0,42,17,6,4,0
1,2,1,0,52,26,21,3,0
1,10,10,10,52,26,16,16,2
1,10,10,9,52,26,16,10,1
1,10,8,0,51,23,11,5,0
1,8,8,8,52,26,10,3,0
1,10,10,9,52,26,14,10,0
1,9,10,8,52,26,15,12,2
1,9,8,10,52,26,16,16,4
1,10,10,10,52,26,16,16,4
1,10,10,10,52,26,16,16,4
1,8,10,10,52,26,16,16,2
1,10,10,4,52,26,15,9,0
1,9,9,10,52,26,16,16,2
1,10,9,10,52,26,16,15,2
1,9,10,9,52,26,16,12,1
1,8,8,8,46,20,15,8,1
1,9,10,10,52,26,16,16,4
1,8,10,9,52,26,15,12,2
1,9,10,9,52,26,16,16,4
1,8,10,10,52,26,15,11,2
1,9,10,9,52,26,16,16,3
1,10,10,10,52,26,16,10,1
1,10,10,10,52,26,16,16,4
1,9,8,10,52,24,15,14,2
1,9,10,10,38,18,10,6,1
1,,8,8,52,26,16,11,1
1,9,10,10,52,26,16,16,3
1,9,8,10,52,26,16,16,3
1,9,8,10,52,26,16,16,4
1,10,0,10,48,26,14,13,2
1,8,10,10,52,26,16,16,2
1,8,0,10,51,26,16,15,2
1,8,0,10,51,26,16,15,0
1,9,8,10,52,26,16,12,2
1,0,0,10,52,26,16,9,2
1,8,2,9,36,19,12,8,0
1,9,8,10,52,26,15,12,0
1,9,9,9,52,26,16,15,2
1,9,10,8,52,26,16,16,5
1,6,1,10,52,26,16,16,2
1,9,10,10,48,26,15,12,2
1,8,0,10,52,26,15,14,3
1,9,8,10,50,26,16,14,2
1,8,0,10,52,26,14,14,2
1,8,9,10,52,26,16,16,3
2,8,1,10,52,26,16,4,3
2,10,7,10,52,24,13,2,1
2,3,0,0,34,7,4,0,0
2,8,1,0,15,6,1,0,1
2,10,10,9,52,18,13,0,3
2,9,7,1,33,14,2,0,1
2,6,0,10,46,26,8,0,2
2,5,0,7,42,14,12,2,2
2,10,6,0,46,17,8,4,2
2,9,7,10,52,26,14,5,3
2,9,1,10,29,13,0,0,2
2,8,0,10,35,18,11,0,0
2,10,10,10,43,26,4,0,2
2,7,0,3,21,13,2,0,0
2,10,9,10,52,25,15,0,2
2,8,0,2,22,6,4,0,1
2,8,0,5,25,17,0,0,1
